,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
158,Te Anau,NZ,1538873130,-45.41,167.72,47.3,56,95,2.93
159,Castro,CL,1538873133,-42.48,-73.76,47.03,92,89,9.42
160,Brae,GB,1538871600,60.4,-1.35,46.4,56,80,12.75
161,Cockburn Town,TC,1538873113,21.46,-71.14,79.34,56,100,16.58
162,Horni Benesov,CZ,1538872200,49.97,17.6,55.4,0,71,8.05
163,Norman Wells,CA,1538870400,65.28,-126.83,28.4,75,68,11.41
164,Khani,GE,1538870400,41.96,42.96,62.6,0,45,29.97
165,Zatyshshya,UA,1538873152,47.33,29.87,44.6,0,89,6.17
166,Hasaki,JP,1538870400,35.73,140.83,82.4,20,69,16.11
167,Los Llanos de Aridane,ES,1538872200,28.66,-17.92,73.4,12,83,9.17
168,Srandakan,ID,1538873162,-7.94,110.25,73.94,24,87,3.49
169,Bambous Virieux,MU,1538873165,-20.34,57.76,68.09,0,95,5.73
170,Hualmay,PE,1538873168,-11.1,-77.61,62.96,24,84,4.27
171,Sao Francisco,BR,1538871600,-25.65,-53.85,66.2,75,93,11.41
172,Pskov,RU,1538870400,57.82,28.33,42.8,44,100,2.24
173,Sao Filipe,CV,1538873178,14.9,-24.5,80.42,0,94,8.63
174,Matata,NZ,1538873181,-37.89,176.76,58.28,24,100,8.41
175,Yulara,AU,1538870400,-25.24,130.99,86.0,8,30,5.82
176,Kendari,ID,1538873187,-3.99,122.52,79.88,48,79,2.82
177,Batagay,RU,1538873194,67.65,134.64,24.17,76,80,4.83
178,Khatanga,RU,1538873197,71.98,102.47,33.8,92,95,3.38
179,Egvekinot,RU,1538873200,66.32,-179.17,38.57,92,98,5.61
180,Taguatinga,BR,1538870400,-15.83,-48.06,69.8,0,94,4.7
181,Noormarkku,FI,1538871600,61.59,21.87,35.6,0,93,7.63
182,Tekeli,KZ,1538873209,44.86,78.76,40.1,44,74,2.37
183,Gazojak,TM,1538873219,41.19,61.4,42.08,0,94,3.04
184,Ellenabad,IN,1538873222,29.45,74.66,65.66,0,58,2.71
185,Lincoln,GB,1538871600,53.23,-0.54,42.8,0,87,8.05
186,Ancud,CL,1538873232,-41.87,-73.83,48.02,92,84,7.18
187,Aklavik,CA,1538870400,68.22,-135.01,28.4,20,58,10.29
188,Freeport,BS,1538873238,26.54,-78.7,83.48,12,91,16.24
189,Lithakia,GR,1538871600,37.72,20.83,59.0,0,93,4.16
190,Malinovoye Ozero,RU,1538873247,51.68,79.77,44.42,0,57,8.52
191,Mount Isa,AU,1538872200,-20.73,139.49,89.6,0,15,9.17
192,Codrington,AU,1538873254,-28.95,153.24,66.38,24,88,3.49
193,Vao,EE,1538873257,59.1,26.19,44.69,92,90,4.16
194,Dingle,PH,1538873001,11.0,122.67,79.79,12,95,6.17
195,Amahai,ID,1538873266,-3.31,129.0,80.15,36,100,6.4
196,Marfino,RU,1538870400,56.07,37.56,48.2,0,87,13.42
197,Ola,RU,1538870400,59.58,151.3,41.0,20,41,11.18
198,Sorland,NO,1538868000,67.67,12.69,39.2,75,100,8.05
199,Pangnirtung,CA,1538873279,66.15,-65.72,20.12,12,89,11.21
200,Kodinsk,RU,1538873264,58.6,99.18,27.86,0,82,2.37
201,Aykhal,RU,1538873288,65.95,111.51,33.08,88,95,8.52
202,Peniche,PT,1538872200,39.36,-9.38,59.0,0,82,10.29
203,Chernyshevskiy,RU,1538873295,63.01,112.47,24.62,24,86,5.06
204,Kavieng,PG,1538873298,-2.57,150.8,84.65,64,100,9.64
205,Nizhnyaya Tavda,RU,1538873019,57.67,66.17,42.8,92,96,17.47
206,Byron Bay,AU,1538872200,-28.65,153.62,71.6,75,60,12.75
207,Brownsville,US,1538869980,25.91,-97.49,86.0,1,65,12.75
208,Rio Gallegos,AR,1538870400,-51.62,-69.22,50.0,0,39,12.75
209,Matara,PE,1538873314,-13.74,-72.9,46.13,0,70,1.92
210,Plettenberg Bay,ZA,1538873317,-34.05,23.37,63.5,76,100,13.56
211,Hithadhoo,MV,1538873237,-0.6,73.08,82.04,56,100,19.6
212,Binzhou,CN,1538873323,37.38,117.96,60.44,56,51,3.6
213,Atar,MR,1538873330,20.52,-13.05,82.13,0,29,4.72
214,Inuvik,CA,1538870400,68.36,-133.71,28.4,20,58,10.29
215,Kenai,US,1538870160,60.55,-151.26,55.04,90,63,6.73
216,Pacific Grove,US,1538872500,36.62,-121.92,71.96,1,56,11.41
217,Mackenzie,CA,1538870400,55.34,-123.09,51.8,75,43,4.7
218,Saint Anthony,US,1538871600,43.97,-111.68,46.94,90,73,3.36
219,Kunyang,CN,1538873352,27.66,120.56,68.81,0,100,5.95
220,Sao Jose da Coroa Grande,BR,1538873254,-8.9,-35.15,75.47,92,87,6.85
221,Caucaia,BR,1538870400,-3.73,-38.66,80.6,0,74,5.82
222,Huarmey,PE,1538873364,-10.07,-78.15,64.04,24,71,3.15
223,Westport,IE,1538873367,53.8,-9.52,44.69,44,96,12.66
224,Waiouru,NZ,1538873374,-39.48,175.67,54.77,24,79,9.42
225,Dale,CN,1538873377,24.09,109.99,67.28,0,71,2.82
226,Osoyoos,CA,1538870400,49.03,-119.47,64.04,20,54,12.75
227,Dakar,SN,1538870400,14.69,-17.45,82.4,20,88,7.74
228,Barrow,AR,1538873386,-38.31,-60.23,67.55,0,46,18.25
229,Talara,PE,1538873393,-4.58,-81.27,70.43,8,73,7.52
230,Cortland,US,1538871000,42.6,-76.18,71.06,75,93,11.41
231,Tuktoyaktuk,CA,1538870400,69.44,-133.03,24.8,5,68,13.87
232,Mogok,MM,1538873418,22.92,96.51,64.76,92,99,1.36
233,Mbuyapey,PY,1538873421,-26.22,-56.76,66.11,92,81,4.94
234,Buraydah,SA,1538870400,26.33,43.97,75.2,0,31,2.24
235,Comodoro Rivadavia,AR,1538870400,-45.87,-67.48,62.6,0,33,14.99
236,Sindor,RU,1538873430,62.87,51.9,36.05,76,97,4.72
237,Tecoanapa,MX,1538869380,16.99,-99.26,86.0,75,74,5.82
238,Karasjok,NO,1538871600,69.47,25.52,28.4,20,86,21.92
239,Maryville,US,1538872500,40.35,-94.87,50.0,90,93,9.17
240,Assiniboia,CA,1538873452,49.63,-105.99,43.43,76,73,5.17
241,Oktyabrskoye,RU,1538873455,56.73,85.44,37.13,0,84,4.38
242,Tornio,FI,1538871600,61.12,27.27,41.0,0,93,3.36
243,Mecca,SA,1538873462,21.43,39.83,69.35,0,72,2.59
244,Tocopilla,CL,1538873465,-22.09,-70.2,62.96,76,88,3.38
245,Fortuna,ES,1538872200,38.18,-1.13,66.2,0,88,2.24
246,Owando,CG,1538873471,-0.49,15.91,70.7,88,97,2.15
247,Portland,US,1538870160,45.52,-122.67,62.96,40,53,11.41
248,General Pico,AR,1538873477,-35.66,-63.75,71.42,0,41,16.13
249,Half Moon Bay,US,1538870160,37.46,-122.43,80.96,20,61,26.4
250,Dalby,AU,1538870400,-27.18,151.26,68.0,75,64,10.29
251,Honiara,SB,1538870400,-9.43,159.96,82.4,75,78,9.17
252,Tual,ID,1538873490,-5.67,132.75,80.15,0,99,7.29
253,Sitka,US,1538873493,37.17,-99.65,48.56,92,100,7.4
254,Port Macquarie,AU,1538870400,-31.43,152.91,66.2,40,63,11.41
255,Milan,IT,1538871600,45.47,9.19,59.0,20,100,3.36
256,Yenagoa,NG,1538873512,4.92,6.26,75.02,92,95,3.27
257,New Ulm,US,1538871300,44.31,-94.46,44.78,90,65,5.82
258,Fairbanks,US,1538870280,64.84,-147.72,50.0,90,10,3.36
259,Alberton,ZA,1538870400,-26.25,28.13,62.6,0,36,2.71
260,Imbituba,BR,1538870400,-28.24,-48.67,62.6,75,82,2.24
261,Marienburg,DE,1538871600,52.12,9.98,57.2,0,87,8.05
262,Hovd,NO,1538871600,63.83,10.7,39.2,40,100,3.36
263,Kruisfontein,ZA,1538873544,-34.0,24.73,63.95,76,97,11.32
264,Bambanglipuro,ID,1538873547,-7.95,110.28,73.94,24,87,3.49
265,Agucadoura,PT,1538872200,41.43,-8.78,55.4,0,71,11.41
266,Noumea,NC,1538872200,-22.28,166.46,78.8,0,54,9.17
267,Sinnamary,GF,1538873279,5.38,-52.96,81.68,0,94,10.09
268,Ixtapa,MX,1538871180,20.71,-105.21,86.0,90,79,5.82
269,Jamai,IN,1538873567,22.2,78.55,62.96,0,84,2.48
270,Teeswater,CA,1538873570,44.0,-81.29,61.25,88,100,11.21
271,Rio Grande,BR,1538873574,-32.03,-52.1,59.27,0,91,13.78
272,Adrar,DZ,1538870400,27.87,-0.29,73.4,0,49,4.7
273,Katete,UG,1538873580,-0.78,29.75,61.34,20,89,2.15
274,Sobolevo,RU,1538873584,54.43,31.9,45.86,0,82,12.44
275,Jenbach,AT,1538871600,47.39,11.77,55.4,75,76,2.24
276,Newport,GB,1538871600,51.59,-3.0,44.6,0,93,9.17
277,San Juan,PH,1538870400,14.6,121.03,84.2,40,89,3.94
278,Aksu,KZ,1538870400,52.04,76.93,37.4,20,68,6.71
279,Talaya,RU,1538873604,55.79,84.89,37.76,0,72,6.17
280,Ambulu,ID,1538873607,-8.35,113.61,75.65,64,97,3.38
281,Bouloupari,NC,1538872200,-21.87,166.05,78.8,0,54,9.17
282,Oksfjord,NO,1538871600,70.24,22.35,35.6,92,93,19.46
283,Komsomolskiy,RU,1538873616,67.55,63.78,34.52,80,100,5.28
284,San Juan del Rio,MX,1538869200,20.39,-99.99,73.4,75,46,8.05
285,Luanda,AO,1538870400,-8.83,13.24,75.2,75,83,10.29
286,Toba,JP,1538870400,34.47,136.83,75.2,75,78,16.11
287,Esmeraldas,BR,1538870400,-19.76,-44.31,68.0,0,77,14.99
288,Sungaipenuh,ID,1538873660,-2.08,101.38,65.84,48,90,1.14
289,Ribeira Grande,PT,1538873663,38.52,-28.7,72.14,56,99,19.6
290,Avera,US,1538872500,33.19,-82.53,82.94,1,73,3.36
291,Khuzdar,PK,1538873669,27.8,66.62,53.42,0,44,2.37
292,Vanavara,RU,1538873672,60.35,102.28,29.93,12,89,4.05
293,Provideniya,RU,1538873675,64.42,-173.23,45.95,92,99,20.83
294,Bowen,AU,1538870400,-20.01,148.25,80.6,75,57,8.05
295,Vacaria,BR,1538873682,-28.51,-50.94,57.02,12,80,9.31
296,Rincon,US,1538872500,32.3,-81.24,78.98,40,82,4.61
297,Manjakandriana,MG,1538872200,-18.92,47.81,57.2,40,93,5.82
298,Mineros,BO,1538870400,-17.12,-63.23,77.0,12,65,5.82
299,Riachao das Neves,BR,1538873694,-11.75,-44.91,78.26,12,46,5.06
300,Porto Novo,BR,1538870400,-23.68,-45.44,60.8,75,100,3.36
301,Quatre Cocos,MU,1538873701,-20.21,57.76,68.09,0,95,5.73
302,Alofi,NU,1538870400,-19.06,-169.92,80.6,56,74,6.93
303,Tateyama,JP,1538871060,36.66,137.31,69.8,75,88,9.17
304,Kurumoch,RU,1538870400,53.49,50.04,46.4,75,87,11.18
305,Saint-Joseph,FR,1538872200,43.56,6.97,64.4,20,93,2.24
306,Ruston,US,1538871300,32.52,-92.64,76.28,1,95,5.39
307,Coahuayana,MX,1538873723,18.62,-100.35,74.21,32,77,1.7
308,Kidal,ML,1538873726,18.44,1.41,79.43,0,22,11.21
309,Mackay,CA,1538870400,53.65,-115.58,50.0,75,49,8.05
310,Murdochville,CA,1538873734,48.96,-65.49,37.31,88,75,3.38
311,Macomer,IT,1538871600,40.26,8.77,59.0,92,100,2.24
312,Marsa Matruh,EG,1538870400,31.35,27.25,71.6,0,83,3.36
313,Gravdal,NO,1538871600,59.79,5.78,41.0,8,80,6.93
314,Hobyo,SO,1538873752,5.35,48.53,76.55,0,85,18.25
315,Peekskill,US,1538870940,41.29,-73.92,66.92,90,96,9.17
316,Honningsvag,NO,1538873765,70.98,25.97,38.75,92,100,14.0
317,Vanimo,PG,1538873768,-2.67,141.3,81.05,20,100,3.49
318,Magdalena,BO,1538873771,-13.26,-64.05,80.06,12,81,2.93
319,Luderitz,NA,1538873775,-26.65,15.16,60.08,32,86,6.73
320,Namibe,AO,1538873778,-15.19,12.15,67.46,88,100,8.08
321,Benito Juarez,MX,1538873781,28.64,-111.57,88.88,0,25,9.75
322,Krasne,UA,1538870400,49.91,24.61,46.4,0,93,5.39
323,Pokaran,IN,1538873788,26.93,71.92,68.18,0,44,2.15
324,San Andres,PH,1538873791,13.32,122.68,81.41,44,100,2.93
325,Pimentel,BR,1538873725,-3.7,-45.5,77.54,12,89,4.27
326,High Level,CA,1538870400,58.52,-117.13,28.4,90,68,3.38
327,Maamba,ZM,1538873801,-17.36,27.22,62.24,0,52,4.27
328,Alta Floresta,BR,1538873804,-9.87,-56.08,77.9,8,91,2.37
329,Salisbury,GB,1538870160,51.07,-1.8,46.4,0,81,17.22
330,Tanete,ID,1538873810,-3.94,119.78,83.57,76,69,7.18
331,San Cristobal,EC,1538870400,-0.39,-78.55,51.8,75,93,2.24
332,Winnemucca,US,1538870160,40.97,-117.74,55.04,90,54,19.46
333,Ambilobe,MG,1538873715,-13.19,49.05,62.15,8,84,2.71
334,Ambunti,PG,1538873710,-4.22,142.82,79.25,76,93,2.71
335,Oum Hadjer,TD,1538873826,13.3,19.7,73.22,8,69,2.71
336,Yar-Sale,RU,1538873829,66.83,70.83,44.42,92,100,9.98
337,Svetlaya,RU,1538873832,46.54,138.33,56.03,100,100,17.36
338,Narsaq,GL,1538869800,60.91,-46.05,33.8,24,64,9.17
339,Leningradskiy,RU,1538873839,69.38,178.42,36.59,92,96,10.87
340,Esna,RO,1538873842,45.2,27.57,46.31,0,91,3.6
341,Radishchevo,RU,1538873845,52.85,47.87,47.21,48,99,11.77
342,Ahipara,NZ,1538873697,-35.17,173.16,64.67,12,70,6.06
343,Maniitsoq,GL,1538873851,65.42,-52.9,31.1,0,88,10.76
344,Talnakh,RU,1538873854,69.49,88.39,46.49,48,82,14.45
345,Port Elizabeth,US,1538872140,39.31,-74.98,71.06,75,88,9.17
346,Baherden,TM,1538873861,38.44,57.43,43.79,0,97,2.04
347,Henties Bay,NA,1538873864,-22.12,14.28,59.63,24,95,5.73
348,Lishu,CN,1538873867,43.31,124.32,42.62,0,45,4.94
349,Vila Velha,BR,1538874000,-3.71,-38.6,80.6,40,74,13.87
350,Catalao,BR,1538873874,-18.17,-47.95,68.09,88,92,6.51
351,El Alto,BO,1538870400,-16.5,-68.19,44.6,75,75,6.93
352,Guerrero Negro,MX,1538873880,27.97,-114.04,71.78,0,75,12.1
353,Souillac,FR,1538872200,45.6,-0.6,55.4,90,93,18.34
354,Vostok,RU,1538873887,46.45,135.83,48.02,92,88,2.26
355,Port-Gentil,GA,1538873662,-0.72,8.78,77.72,76,98,6.62
356,Hay River,CA,1538870400,60.82,-115.79,32.0,75,56,6.93
357,Kourou,GF,1538872200,5.16,-52.64,77.0,0,100,10.09
358,Mumford,GH,1538873900,5.26,-0.76,75.2,24,95,4.61
359,Yangshe,CN,1538873903,31.89,120.61,67.28,64,89,8.75
360,San Luis,AR,1538873906,-33.3,-66.34,72.86,0,28,10.2
361,Xanten,DE,1538871900,51.66,6.45,59.0,90,93,11.41
362,Erzin,TR,1538871600,36.95,36.2,60.8,0,63,8.05
363,Cairns,AU,1538872200,-16.92,145.77,80.6,20,65,9.17
364,Dikson,RU,1538873771,73.51,80.55,37.04,20,100,12.55
365,Udachnyy,RU,1538873925,66.42,112.4,34.79,92,97,5.61
366,Hibbing,US,1538873100,47.43,-92.94,41.0,90,79,5.82
367,Victoria,BN,1538872200,5.28,115.24,86.0,75,74,4.7
368,Ciparay,ID,1538873935,-6.71,106.36,72.68,24,97,3.83
369,Tiksi,RU,1538873891,71.64,128.87,28.22,92,90,17.81
370,Malibu,US,1538872500,33.61,-84.48,79.34,1,76,4.72
371,Ilulissat,GL,1538869800,69.22,-51.1,30.2,8,63,2.24
372,Yangambi,CD,1538873951,0.77,24.47,71.69,24,100,3.15
373,Dunedin,NZ,1538873697,-45.87,170.5,49.28,88,82,11.99
374,Nizwa,OM,1538873957,22.93,57.53,64.22,0,47,4.5
375,Laiyang,CN,1538873960,36.98,120.7,62.78,80,42,5.84
